RefSeq/Protein ID	Product
WP_000358419.1	hypothetical protein
WP_000353184.1	hypothetical protein
WP_000804776.1	Flp pilus assembly protein CpaB
WP_000375827.1	AAA family ATPase
WP_000264598.1	CpaF family protein
WP_000287087.1	type II secretion system F family protein
WP_000201164.1	hypothetical protein
WP_000956358.1	hypothetical protein
WP_000879954.1	hypothetical protein
WP_001212544.1	WxL domain-containing protein
WP_000844614.1	DUF916 and DUF3324 domain-containing protein
WP_017762538.1	WxL domain-containing protein
WP_000029697.1	hypothetical protein
WP_016083180.1	hypothetical protein
WP_000784218.1	hypothetical protein
WP_001108749.1	DUF3854 domain-containing protein
WP_001053647.1	Rpn family recombination-promoting nuclease/putative transposase
WP_000502634.1	hypothetical protein
WP_001169888.1	hypothetical protein
WP_025986961.1	hypothetical protein
WP_001233519.1	PrgI family mobile element protein
WP_000891997.1	hypothetical protein
WP_000765105.1	VirB4 family type IV secretion system protein
WP_016078539.1	type IV secretion system protein
WP_002169760.1	lysozyme family protein
WP_000720692.1	hypothetical protein
WP_001242516.1	hypothetical protein
WP_003159747.1	DUF2325 domain-containing protein
WP_042451386.1	hypothetical protein
WP_000094350.1	CPBP family intramembrane glutamic endopeptidase
WP_001186855.1	DUF418 domain-containing protein
WP_000725577.1	thioredoxin family protein
WP_000912148.1	NEAT domain-containing protein
WP_001066876.1	hypothetical protein
WP_000746296.1	S-layer homology domain-containing protein
WP_000481542.1	phosphatase PAP2 family protein
WP_076611614.1	IS3 family transposase
WP_076611934.1	IS3 family transposase
WP_042514106.1	hyaluronan synthase HasA
WP_000702222.1	UTP--glucose-1-phosphate uridylyltransferase GalU
WP_001027044.1	UDP-glucose/GDP-mannose dehydrogenase family protein
WP_076611343.1	IS3 family transposase
WP_076611090.1	hypothetical protein
WP_003171502.1	hypothetical protein
WP_003171504.1	hypothetical protein
WP_000704426.1	hypothetical protein
WP_000055896.1	hypothetical protein
WP_000578140.1	hypothetical protein
WP_076611143.1	IS3 family transposase
WP_000197748.1	anthrax toxin edema factor
WP_000346219.1	adenine phosphoribosyltransferase
WP_076611647.1	IS1182-like element ISBth7 family transposase
WP_002119471.1	glycerol-3-phosphate acyltransferase
WP_000876615.1	ATPase
WP_000957312.1	anthrax toxin expression trans-acting transcriptional regulator AtxA
WP_000388434.1	histidine kinase N-terminal domain-containing protein
WP_000415718.1	hypothetical protein
WP_000787061.1	hypothetical protein
WP_016086792.1	sodium:proline symporter
WP_003165373.1	Tn3 family transposase
WP_000639133.1	recombinase family protein
WP_011053055.1	spore germination protein GerXB
WP_000831868.1	spore germination protein GerXA
WP_003159771.1	spore germination protein GerXC
WP_000444608.1	hypothetical protein
WP_000746487.1	anthrax toxin protective antigen
WP_000215715.1	transcriptional repressor PagR
WP_016097174.1	hypothetical protein
WP_003202920.1	DUF4037 domain-containing protein
WP_001022097.1	anthrax toxin lethal factor
WP_002162366.1	Rpn family recombination-promoting nuclease/putative transposase
WP_016097079.1	ArsR family transcriptional regulator
WP_042442027.1	hypothetical protein
WP_003159883.1	hypothetical protein
WP_002069698.1	helix-turn-helix transcriptional regulator
WP_001021546.1	site-specific integrase
WP_000202840.1	zinc-finger domain-containing protein
WP_000385111.1	helix-turn-helix domain-containing protein
WP_016125241.1	LacI family transcriptional regulator
WP_000394768.1	hypothetical protein
WP_001293205.1	hypothetical protein
WP_003171475.1	hypothetical protein
WP_000107153.1	WXG100 family type VII secretion target
WP_000073368.1	SMI1/KNR4 family protein
WP_076611387.1	IS3 family transposase
WP_076611090.1	IS3 family transposase
WP_001053939.1	IS4 family transposase
WP_000683998.1	metal-binding protein ZinT
WP_001176696.1	RelA/SpoT domain-containing protein
WP_000070475.1	tyrosine recombinase XerS
WP_000742890.1	ATP-binding protein
WP_000682818.1	hypothetical protein
WP_000788727.1	hypothetical protein
WP_000642777.1	helix-turn-helix domain-containing protein
WP_000637338.1	Rap family tetratricopeptide repeat protein
WP_000757392.1	hypothetical protein
WP_000557401.1	RNA chaperone Hfq
WP_000207867.1	metalloregulator ArsR/SmtB family transcription factor
WP_000022644.1	disulfide oxidoreductase
WP_000084556.1	hypothetical protein
WP_000344165.1	hypothetical protein
WP_000708136.1	thermonuclease family protein
WP_000520727.1	type IA DNA topoisomerase
WP_000109044.1	transposase
