RefSeq/Protein ID	Product
WP_000581648.1	nucleotidyltransferase domain-containing protein
WP_016112226.1	RNA-binding protein
WP_001259112.1	hypothetical protein
WP_228028305.1	ATP-binding protein
WP_003163492.1	hypothetical protein
WP_000633828.1	hypothetical protein
WP_000153861.1	hypothetical protein
WP_000022108.1	hypothetical protein
WP_000282362.1	nucleotidyltransferase domain-containing protein
WP_001014144.1	group II intron reverse transcriptase/maturase
WP_000401613.1	HEPN domain-containing protein
WP_016095209.1	phosphoadenosine phosphosulfate reductase family protein
WP_001118290.1	hypothetical protein
WP_016095208.1	hypothetical protein
WP_001006036.1	site-specific integrase
WP_000520265.1	hypothetical protein
WP_000827869.1	hypothetical protein
WP_000413217.1	helix-turn-helix transcriptional regulator
WP_238551107.1	SIR2 family protein
WP_229133749.1	hypothetical protein
WP_000793410.1	hypothetical protein
WP_000710698.1	DUF6018 family natural product bioysynthesis protein
WP_000425336.1	hypothetical protein
WP_001236413.1	DUF6094 domain-containing protein
WP_000114823.1	hypothetical protein
WP_003173379.1	hypothetical protein
WP_001099012.1	group II intron reverse transcriptase/maturase
WP_000938772.1	ATP-dependent helicase
WP_000494355.1	hypothetical protein
WP_001024819.1	hypothetical protein
WP_000817910.1	hypothetical protein
WP_002194483.1	hypothetical protein
WP_000916417.1	hypothetical protein
WP_003159741.1	hypothetical protein
WP_000453399.1	nuclease-related domain-containing protein
WP_003171438.1	hypothetical protein
WP_000914414.1	hypothetical protein
WP_000109044.1	transposase
WP_000520727.1	type IA DNA topoisomerase
WP_000708135.1	thermonuclease family protein
WP_000344165.1	hypothetical protein
WP_000084556.1	hypothetical protein
WP_000022644.1	disulfide oxidoreductase
WP_000207867.1	metalloregulator ArsR/SmtB family transcription factor
WP_000557401.1	RNA chaperone Hfq
WP_000757392.1	hypothetical protein
WP_000637338.1	Rap family tetratricopeptide repeat protein
WP_000642777.1	helix-turn-helix domain-containing protein
WP_000788727.1	hypothetical protein
WP_000682818.1	hypothetical protein
WP_000742890.1	ATP-binding protein
WP_000070475.1	tyrosine recombinase XerS
WP_001176696.1	RelA/SpoT domain-containing protein
WP_000683998.1	metal-binding protein ZinT
WP_001053939.1	IS4 family transposase
WP_076611090.1	IS3 family transposase
WP_076611387.1	IS3 family transposase
WP_000073367.1	SMI1/KNR4 family protein
WP_000107153.1	WXG100 family type VII secretion target
WP_003171475.1	hypothetical protein
WP_001293205.1	hypothetical protein
WP_164967099.1	hypothetical protein
WP_016125241.1	LacI family transcriptional regulator
WP_000385111.1	helix-turn-helix domain-containing protein
WP_000202840.1	zinc-finger domain-containing protein
WP_001021546.1	site-specific integrase
WP_002069698.1	helix-turn-helix transcriptional regulator
WP_003159883.1	hypothetical protein
WP_042442027.1	hypothetical protein
WP_003173419.1	hypothetical protein
WP_002162366.1	Rpn family recombination-promoting nuclease/putative transposase
WP_001022099.1	anthrax toxin lethal factor
WP_003202920.1	DUF4037 domain-containing protein
WP_016097174.1	hypothetical protein
WP_000215715.1	transcriptional repressor PagR
WP_000746486.1	anthrax toxin protective antigen
WP_010890026.1	hypothetical protein
WP_001141361.1	hypothetical protein
WP_025441109.1	spore germination protein GerXC
WP_000831868.1	spore germination protein GerXA
WP_011053055.1	spore germination protein GerXB
WP_000639133.1	recombinase family protein
WP_016086792.1	sodium:proline symporter
WP_000787061.1	hypothetical protein
WP_000415717.1	hypothetical protein
WP_025441108.1	histidine kinase N-terminal domain-containing protein
WP_009880099.1	histidine kinase N-terminal domain-containing protein
WP_000957312.1	anthrax toxin expression trans-acting transcriptional regulator AtxA
WP_002119471.1	glycerol-3-phosphate acyltransferase
WP_076611647.1	IS1182-like element ISBth7 family transposase
WP_000346219.1	adenine phosphoribosyltransferase
WP_000197749.1	anthrax toxin edema factor
WP_076611143.1	IS3 family transposase
WP_000578140.1	hypothetical protein
WP_000055896.1	hypothetical protein
WP_000704429.1	hypothetical protein
WP_003173402.1	hypothetical protein
WP_003171502.1	hypothetical protein
WP_076611090.1	hypothetical protein
WP_084831837.1	IS3 family transposase
WP_084831838.1	IS3 family transposase
